Id,Designator,Package,Quantity,Designation,Supplier and ref
1,P601,Pin_Header_Straight_2x03_Pitch2.54mm,1,ISP,
2,P201,USB_B,1,USB_B,
3,Q301,SOT-23_Handsoldering,1,2N3904,
4,"D301,D302",D_SOT-23_ANK,2,BAT54,
5,"C201,C206,C301,C501,C502,C601,C602,C603",R_0603_HandSoldering,8,100nF,
6,C202,R_0603_HandSoldering,1,10nF,
7,"C203,C401,C402",R_0805_HandSoldering,3,4.7uF,
8,"C204,C205",R_0603_HandSoldering,2,47pF,
9,"C403,C404",R_0603_HandSoldering,2,22nF,
10,"D701,D702,D703",LED_0805,3,LED,
11,L201,R_0805_HandSoldering,1,Ferrite_Bead,
12,Q701,SOT-23_Handsoldering,1,2N3906,
13,"R201,R202",R_0603_HandSoldering,2,27,
14,R301,R_0603_HandSoldering,1,1k,
15,"R302,R501,R502,R602,R704",R_0603_HandSoldering,5,10k,
16,"R601,R603,R604,R605",R_0603_HandSoldering,4,4.7k,
17,"R701,R702,R703",R_0603_HandSoldering,3,150,
18,U201,SSOP-16,1,FT230X,
19,U301,DIP-32_W15.24mm,1,GLS27SF010,
20,U401,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,MAX662A,
21,"U501,U502",SOIC-16_3.9x9.9mm_Pitch1.27mm,2,74HC595,
22,U601,TQFP-32,1,ATMEGA328-AU,
